"link_id","length","width","lanes","in_top","out_top","lane_width"
"100","58","3","1","105","111","3"
"101","84","3","1","116","121","3"
"102","131","9","3","115","109","3"
"103","23","12","4","111","122,116","3"
"104","293","9","3","109","112","3"
"105","78","6","2","","100","3"
"106","15","3","1","121","113","3"
"107","34","9","3","123","108","3"
"108","40","9","3","107","119,120","3"
"109","135","9","3","102","104","3"
"110","109","9","3","","123","3"
"111","121","12","4","100,112","103","3"
"112","199","9","3","104","111","3"
"113","144","6","2","106","","3"
"114","198","3","1","119","118","3"
"115","107","9","3","","102","3"
"116","180","9","3","118,103","101","3"
"117","136","3","1","120","","3"
"118","206","9","3","114","116,122","3"
"119","9","3","1","108","114","3"
"120","6","3","1","108","117","3"
"121","118","3","1","101","106","3"
"122","197","3","1","118,103","","3"
"123","59","9","3","110","107","3"
